ticker,date,open,high,low,close,volume,adjustedClose
^BVSP,23/09/2020 10:00,97294,97389,95728,95735,8830700,95735
^BVSP,24/09/2020 10:00,95735,97955,95653,97012,9331000,97012
^BVSP,25/09/2020 10:00,97011,97012,95632,96999,7351100,96999
^BVSP,28/09/2020 10:00,97005,98314,94371,94666,10508900,94666
^BVSP,29/09/2020 10:00,94665,95505,93408,93580,8737200,93580
^BVSP,30/09/2020 10:00,93586,95340,93584,94603,9454300,94603
^BVSP,01/10/2020 10:00,94604,95486,93599,95479,9243500,95479
^BVSP,02/10/2020 10:00,95475,95996,93897,94016,8584900,94016
^BVSP,05/10/2020 10:00,94019,96414,93984,96089,8616000,96089
^BVSP,06/10/2020 10:00,96091,97405,95211,95615,11299600,95615
^BVSP,07/10/2020 10:00,95616,96380,94881,95526,9829900,95526
^BVSP,08/10/2020 10:00,95530,97938,95530,97920,11163600,97920
^BVSP,09/10/2020 10:00,97924,98642,97161,97483,10810500,97483
^BVSP,13/10/2020 10:00,97483,98998,97336,98503,7867500,98503
^BVSP,14/10/2020 10:00,98502,99571,98501,99334,8891000,99334
^BVSP,15/10/2020 10:00,99328,99486,97778,99054,8335200,99054
^BVSP,16/10/2020 10:00,99054,99172,98309,98309,7840200,98309
^BVSP,19/10/2020 10:00,98310,99917,98310,98658,9929400,98658
^BVSP,20/10/2020 10:00,98664,100722,98664,100540,8796000,100540
^BVSP,21/10/2020 10:00,100541,101586,100149,100552,8661100,100552
^BVSP,22/10/2020 10:00,100553,102020,100457,101918,9556900,101918
^BVSP,23/10/2020 10:00,101918,102218,101188,101260,7561100,101260
^BVSP,26/10/2020 10:00,101260,101784,99762,101017,8070400,101017
^BVSP,27/10/2020 10:00,101017,101660,99414,99606,8672300,99606
^BVSP,28/10/2020 10:00,99598,99598,95369,95369,11051600,95369
^BVSP,29/10/2020 10:00,95368,96688,93387,96582,12704400,96582
^BVSP,30/10/2020 10:00,96579,96579,93559,93952,10643200,93952
^BVSP,03/11/2020 10:00,93968,96250,93968,95587,10191800,95587
^BVSP,04/11/2020 10:00,95992,98296,95987,97811,10704600,97811
^BVSP,05/11/2020 10:00,97873,100922,97872,100774,10455300,100774
^BVSP,06/11/2020 10:00,100751,100928,99837,100799,8382800,100799
^BVSP,09/11/2020 10:00,100954,105147,100954,103913,17410500,103913
^BVSP,10/11/2020 10:00,103516,105758,103453,105351,16665200,105351
^BVSP,11/11/2020 10:00,105067,105462,104143,104532,10841000,104532
^BVSP,12/11/2020 10:00,104810,105019,102034,102175,10860300,102175
^BVSP,13/11/2020 10:00,102509,104707,102509,104512,9772100,104512
^BVSP,16/11/2020 10:00,104729,106518,104729,106430,11724300,106430
^BVSP,17/11/2020 10:00,106430,107810,105847,107229,10311000,107229
^BVSP,18/11/2020 10:00,107246,107467,106217,106483,10337300,106483
^BVSP,19/11/2020 10:00,106117,106973,105545,106517,8555700,106517
^BVSP,23/11/2020 10:00,106050,107495,106050,107379,9686000,107379
^BVSP,24/11/2020 10:00,107378,109956,107361,109786,11934800,109786
^BVSP,25/11/2020 10:00,109786,110596,109315,110133,8564700,110133
^BVSP,26/11/2020 10:00,110133,110245,109418,110227,6166800,110227
^BVSP,27/11/2020 10:00,110229,111603,110161,110575,8790300,110575
^BVSP,30/11/2020 10:00,110598,110934,108829,108888,19300000,108888
^BVSP,01/12/2020 10:00,108897,111840,108897,111335,11324800,111335
^BVSP,02/12/2020 10:00,111402,112315,110579,111814,9814300,111814
^BVSP,03/12/2020 10:00,111874,113377,111874,112919,11474200,112919
^BVSP,04/12/2020 10:00,112294,113864,112294,113682,8892900,113682
^BVSP,07/12/2020 10:00,113751,114531,112629,113625,9633900,113625
^BVSP,08/12/2020 10:00,113590,114381,112820,113571,8810900,113571
^BVSP,09/12/2020 10:00,113799,114020,112567,112722,8431100,112722
^BVSP,10/12/2020 10:00,113002,115262,112732,114992,11803600,114992
^BVSP,11/12/2020 10:00,115128,115527,113949,115323,8372300,115323
^BVSP,14/12/2020 10:00,115137,115740,114431,114975,8190900,114975
^BVSP,15/12/2020 10:00,114613,116390,114613,116146,8195100,116146
